Date,Subs,,,,
07/28/2011,28466,,,, 
07/29/2011,28813,,,, 
07/30/2011,29160,,,, 
07/31/2011,29507,,,, 
08/01/2011,29854,,,, 
08/02/2011,30201,,,, 
08/03/2011,30548,,,, 
08/04/2011,30895,,,, 
08/05/2011,31242,,,, 
08/06/2011,31589,,,, 
08/07/2011,31936,,,, 
08/08/2011,32283,,,, 
08/09/2011,32630,,,, 
08/10/2011,32977,,,, 
08/11/2011,33324,,,, 
08/12/2011,33671,,,, 
08/13/2011,34018,,,, 
08/14/2011,34365,,,, 
08/15/2011,34712,,,, 
08/16/2011,35059,,,, 
08/17/2011,35406,,,, 
08/18/2011,35753,,,, 
08/19/2011,36100,,,, 
08/20/2011,36447,,,, 
08/21/2011,36794,,,, 
08/22/2011,37141,,,, 
08/23/2011,37488,,,, 
08/24/2011,37835,,,, 
08/25/2011,38182,,,, 
08/26/2011,38529,,,, 
08/27/2011,38876,,,, 
08/28/2011,39223,,,, 
08/29/2011,39570,,,, 
08/30/2011,39917,,,, 
08/31/2011,40264,,,, 
09/01/2011,40611,,,, 
09/02/2011,40958,,,, 
09/03/2011,41305,,,, 
09/04/2011,41652,,,, 
09/05/2011,41999,,,, 
09/06/2011,42346,,,, 
09/07/2011,42693,,,, 
09/08/2011,43040,,,, 
09/09/2011,43387,,,, 
09/10/2011,43734,,,, 
09/11/2011,44081,,,, 
09/12/2011,44428,,,, 
09/13/2011,44775,,,, 
09/14/2011,45122,,,, 
09/15/2011,45469,,,, 
09/16/2011,45816,,,, 
09/17/2011,46163,,,, 
09/18/2011,46510,,,, 
09/19/2011,46857,,,, 
09/20/2011,47204,,,, 
09/21/2011,47551,,,, 
09/22/2011,47898,,,, 
09/23/2011,48245,,,, 
09/24/2011,48592,,,, 
09/25/2011,48939,,,, 
09/26/2011,49286,,,, 
09/27/2011,49633,,,, 
09/28/2011,49980,,,, 
09/29/2011,50327,,,, 
09/30/2011,50834,,,, 
10/01/2011,51807,,,, 
10/02/2011,52780,,,, 
10/03/2011,53555,,,, 
10/04/2011,54252,,,, 
10/05/2011,54910,,,, 
10/06/2011,55664,,,, 
10/07/2011,56319,,,, 
10/08/2011,57004,,,, 
10/09/2011,57687,,,, 
10/10/2011,58275,,,, 
10/11/2011,58813,,,, 
10/12/2011,59391,,,, 
10/13/2011,60014,,,, 
10/14/2011,60712,,,, 
10/15/2011,61614,,,, 
10/16/2011,62430,,,, 
10/17/2011,63108,,,, 
10/18/2011,63789,,,, 
10/19/2011,64551,,,, 
10/20/2011,65294,,,, 
10/21/2011,66157,,,, 
10/22/2011,67586,,,, 
10/23/2011,68615,,,, 
10/24/2011,69603,,,, 
10/25/2011,70565,,,, 
10/26/2011,71493,,,, 
10/27/2011,72365,,,, 
10/28/2011,73235,,,, 
10/29/2011,74226,,,, 
10/30/2011,75184,,,, 
10/31/2011,76064,,,, 
11/01/2011,76920,,,, 
11/02/2011,77800,,,, 
11/03/2011,78744,,,, 
11/04/2011,79681,,,, 
11/05/2011,80620,,,, 
11/06/2011,81563,,,, 
11/07/2011,82562,,,, 
11/08/2011,83469,,,, 
11/09/2011,84340,,,, 
11/10/2011,85289,,,, 
11/11/2011,86367,,,, 
11/12/2011,87743,,,, 
11/13/2011,89008,,,, 
11/14/2011,89936,,,, 
11/15/2011,90920,,,, 
11/16/2011,92078,,,, 
11/17/2011,93611,,,, 
11/18/2011,94963,,,, 
11/19/2011,96406,,,, 
11/20/2011,97621,,,, 
11/21/2011,98732,,,, 
11/22/2011,99791,,,, 
11/23/2011,100816,,,, 
11/24/2011,101873,,,, 
11/25/2011,103007,,,, 
11/26/2011,104259,,,, 
11/27/2011,105439,,,, 
11/28/2011,106528,,,, 
11/29/2011,107602,,,, 
11/30/2011,108862,,,, 
12/01/2011,110729,,,, 
12/02/2011,114404,,,, 
12/03/2011,116952,,,, 
12/04/2011,118918,,,, 
12/05/2011,120683,,,, 
12/06/2011,122111,,,, 
12/07/2011,123731,,,, 
12/08/2011,125193,,,, 
12/09/2011,127068,,,, 
12/10/2011,129278,,,, 
12/11/2011,131364,,,, 
12/12/2011,133034,,,, 
12/13/2011,134769,,,, 
12/14/2011,136463,,,, 
12/15/2011,138703,,,, 
12/16/2011,140987,,,, 
12/17/2011,143300,,,, 
12/18/2011,145342,,,, 
12/19/2011,147320,,,, 
12/20/2011,149278,,,, 
12/21/2011,151130,,,, 
12/22/2011,153229,,,, 
12/23/2011,155319,,,, 
12/24/2011,157348,,,, 
12/25/2011,159395,,,, 
12/26/2011,161052,,,, 
12/27/2011,162709,,,, 
12/28/2011,164475,,,, 
12/29/2011,166400,,,, 
12/30/2011,168403,,,, 
12/31/2011,170342,,,, 
01/01/2012,172365,,,, 
01/02/2012,174862,,,, 
01/03/2012,177119,,,, 
01/04/2012,179129,,,, 
01/05/2012,181163,,,, 
01/06/2012,183279,,,, 
01/07/2012,185766,,,, 
01/08/2012,187830,,,, 
01/09/2012,189892,,,, 
01/10/2012,191954,,,, 
01/11/2012,193684,,,, 
01/12/2012,195414,,,, 
01/13/2012,197384,,,, 
01/14/2012,199628,,,, 
01/15/2012,201662,,,, 
01/16/2012,203675,,,, 
01/17/2012,205542,,,, 
01/18/2012,207257,,,, 
01/19/2012,208920,,,, 
01/20/2012,210607,,,, 
01/21/2012,212374,,,, 
01/22/2012,214015,,,, 
01/23/2012,215670,,,, 
01/24/2012,217288,,,, 
01/25/2012,219015,,,, 
01/26/2012,220930,,,, 
01/27/2012,222565,,,, 
01/28/2012,224363,,,, 
01/29/2012,225975,,,, 
01/30/2012,227529,,,, 
01/31/2012,229170,,,, 
02/01/2012,230723,,,, 
02/02/2012,232269,,,, 
02/03/2012,233587,,,, 
02/04/2012,235030,,,, 
02/05/2012,236336,,,, 
02/06/2012,237573,,,, 
02/07/2012,238898,,,, 
02/08/2012,240300,,,, 
02/09/2012,241922,,,, 
02/10/2012,243250,,,, 
02/11/2012,244849,,,, 
02/12/2012,246098,,,, 
02/13/2012,247253,,,, 
02/14/2012,248395,,,, 
02/15/2012,249613,,,, 
02/16/2012,250925,,,, 
02/17/2012,252192,,,, 
02/18/2012,253508,,,, 
02/19/2012,254829,,,, 
02/20/2012,256153,,,, 
02/21/2012,257409,,,, 
02/22/2012,258842,,,, 
02/23/2012,260072,,,, 
02/24/2012,261350,,,, 
02/25/2012,262724,,,, 
02/26/2012,263994,,,, 
02/27/2012,265214,,,, 
02/28/2012,266453,,,, 
02/29/2012,267662,,,, 
03/01/2012,268852,,,, 
03/02/2012,270189,,,, 
03/03/2012,271618,,,, 
03/04/2012,272985,,,, 
03/05/2012,274111,,,, 
03/06/2012,275267,,,, 
03/07/2012,276436,,,, 
03/08/2012,277741,,,, 
03/09/2012,279063,,,, 
03/10/2012,280494,,,, 
03/11/2012,281696,,,, 
03/12/2012,282910,,,, 
03/13/2012,284107,,,, 
03/14/2012,285311,,,, 
03/15/2012,286375,,,, 
03/16/2012,287499,,,, 
03/17/2012,288769,,,, 
03/18/2012,289874,,,, 
03/19/2012,291019,,,, 
03/20/2012,292240,,,, 
03/21/2012,293425,,,, 
03/22/2012,294585,,,, 
03/23/2012,295995,,,, 
03/24/2012,297327,,,, 
03/25/2012,298743,,,, 
03/26/2012,299930,,,, 
03/27/2012,301350,,,, 
03/28/2012,302516,,,, 
03/29/2012,303896,,,, 
03/30/2012,305126,,,, 
03/31/2012,306362,,,, 
04/01/2012,307604,,,, 
04/02/2012,308823,,,, 
04/03/2012,310113,,,, 
04/04/2012,311328,,,, 
04/05/2012,312574,,,, 
04/06/2012,313985,,,, 
04/07/2012,315305,,,, 
04/08/2012,316741,,,, 
04/09/2012,318072,,,, 
04/10/2012,319633,,,, 
04/11/2012,321169,,,, 
04/12/2012,322567,,,, 
04/13/2012,323957,,,, 
04/14/2012,325491,,,, 
04/15/2012,327024,,,, 
04/16/2012,328347,,,, 
04/17/2012,329666,,,, 
04/18/2012,330813,,,, 
04/19/2012,331952,,,, 
04/20/2012,333112,,,, 
04/21/2012,334280,,,, 
04/22/2012,335549,,,, 
04/23/2012,336557,,,, 
04/24/2012,337530,,,, 
04/25/2012,338484,,,, 
04/26/2012,339512,,,, 
04/27/2012,340560,,,, 
04/28/2012,341656,,,, 
04/29/2012,342748,,,, 
04/30/2012,343858,,,, 
05/01/2012,344914,,,, 
05/02/2012,345914,,,, 
05/03/2012,346977,,,, 
05/04/2012,348051,,,, 
05/05/2012,349209,,,, 
05/06/2012,350474,,,, 
05/07/2012,351609,,,, 
05/08/2012,352679,,,, 
05/09/2012,353781,,,, 
05/10/2012,354646,,,, 
05/11/2012,355986,,,, 
05/12/2012,357209,,,, 
05/13/2012,358304,,,, 
05/14/2012,359243,,,, 
05/15/2012,360268,,,, 
05/16/2012,361379,,,, 
05/17/2012,362451,,,, 
05/18/2012,363416,,,, 
05/19/2012,364602,,,, 
05/20/2012,365831,,,, 
05/21/2012,366969,,,, 
05/22/2012,368103,,,, 
05/23/2012,369227,,,, 
05/24/2012,370463,,,, 
05/25/2012,371325,,,, 
05/26/2012,372553,,,, 
05/27/2012,373688,,,, 
05/28/2012,374833,,,, 
05/29/2012,376032,,,, 
05/30/2012,377190,,,, 
05/31/2012,378406,,,, 
06/01/2012,379506,,,, 
06/02/2012,380770,,,, 
06/03/2012,382028,,,, 
06/04/2012,383194,,,, 
06/05/2012,384442,,,, 
06/06/2012,385755,,,, 
06/07/2012,386871,,,, 
06/08/2012,388141,,,, 
06/09/2012,389199,,,, 
06/10/2012,390334,,,, 
