Date,Subs
09/06/2011,25472
09/07/2011,25626
09/08/2011,25785
09/09/2011,25922
09/10/2011,26082
09/11/2011,26336
09/12/2011,26504
09/13/2011,26619
09/14/2011,26752
09/15/2011,26869
09/16/2011,26982
09/17/2011,27149
09/18/2011,27421
09/19/2011,27573
09/20/2011,27701
09/21/2011,27845
09/22/2011,27969
09/23/2011,28068
09/24/2011,28239
09/25/2011,28438
09/26/2011,28610
09/27/2011,28764
09/28/2011,28948
09/29/2011,29128
09/30/2011,29300
10/01/2011,29503
10/02/2011,29727
10/03/2011,29901
10/04/2011,30025
10/05/2011,30202
10/06/2011,30489
10/07/2011,30730
10/08/2011,31108
10/09/2011,31604
10/10/2011,32073
10/11/2011,32508
10/12/2011,32924
10/13/2011,33306
10/14/2011,33744
10/15/2011,34270
10/16/2011,34853
10/17/2011,35522
10/18/2011,36161
10/19/2011,36654
10/20/2011,37195
10/21/2011,37596
10/22/2011,38030
10/23/2011,38504
10/24/2011,38814
10/25/2011,39098
10/26/2011,39362
10/27/2011,39621
10/28/2011,39848
10/29/2011,40138
10/30/2011,40430
10/31/2011,40763
11/01/2011,41109
11/02/2011,41459
11/03/2011,41788
11/04/2011,42122
11/05/2011,42563
11/06/2011,43065
11/07/2011,43459
11/08/2011,43774
11/09/2011,44107
11/10/2011,44820
11/11/2011,45783
11/12/2011,46525
11/13/2011,47210
11/14/2011,47759
11/15/2011,48241
11/16/2011,49061
11/17/2011,49988
11/18/2011,50711
11/19/2011,51438
11/20/2011,52121
11/21/2011,52723
11/22/2011,53310
11/23/2011,53899
11/24/2011,54420
11/25/2011,55368
11/26/2011,56331
11/27/2011,57166
11/28/2011,58015
11/29/2011,58716
11/30/2011,59461
12/01/2011,60119
12/02/2011,60967
12/03/2011,61867
12/04/2011,62784
12/05/2011,63990
12/06/2011,64761
12/07/2011,65933
12/08/2011,66890
12/09/2011,67786
12/10/2011,68846
12/11/2011,69834
12/12/2011,70680
12/13/2011,71477
12/14/2011,72195
12/15/2011,72881
12/16/2011,73647
12/17/2011,74547
12/18/2011,75609
12/19/2011,76492
12/20/2011,77324
12/21/2011,78134
12/22/2011,79023
12/23/2011,79937
12/24/2011,80561
12/25/2011,81152
12/26/2011,81756
12/27/2011,82466
12/28/2011,83172
12/29/2011,83961
12/30/2011,84661
12/31/2011,85261
01/01/2012,85953
01/02/2012,86737
01/03/2012,87427
01/04/2012,88053
01/05/2012,88660
01/06/2012,89240
01/07/2012,90026
01/08/2012,91021
01/09/2012,91971
01/10/2012,92759
01/11/2012,93582
01/12/2012,93313
01/13/2012,94320
01/14/2012,95482
01/15/2012,96783
01/16/2012,97909
01/17/2012,98889
01/18/2012,100757
01/19/2012,102724
01/20/2012,104380
01/21/2012,106454
01/22/2012,108424
01/23/2012,109997
01/24/2012,111737
01/25/2012,113493
01/26/2012,115013
01/27/2012,116534
01/28/2012,118549
01/29/2012,121974
01/30/2012,123955
01/31/2012,125880
02/01/2012,128074
02/02/2012,129971
02/03/2012,131887
02/04/2012,134089
02/05/2012,136289
02/06/2012,138238
02/07/2012,140086
02/08/2012,142002
02/09/2012,143793
02/10/2012,145697
02/11/2012,147907
02/12/2012,150412
02/13/2012,152243
02/14/2012,154295
02/15/2012,156243
02/16/2012,158167
02/17/2012,160255
02/18/2012,162854
02/19/2012,165667
02/20/2012,168245
02/21/2012,170615
02/22/2012,172982
02/23/2012,175443
02/24/2012,178197
02/25/2012,182619
02/26/2012,188315
02/27/2012,193803
02/28/2012,200321
02/29/2012,207351
03/01/2012,211256
03/02/2012,215043
03/03/2012,219205
03/04/2012,223461
03/05/2012,226771
03/06/2012,229640
03/07/2012,232230
03/08/2012,234521
03/09/2012,236911
03/10/2012,240577
03/11/2012,244793
03/12/2012,248769
03/13/2012,252399
03/14/2012,255700
03/15/2012,259092
03/16/2012,262318
03/17/2012,266208
03/18/2012,270325
03/19/2012,273656
03/20/2012,276837
03/21/2012,279857
03/22/2012,282747
03/23/2012,285727
03/24/2012,289363
03/25/2012,293212
03/26/2012,296445
03/27/2012,299711
03/28/2012,302790
03/29/2012,305702
03/30/2012,308762
03/31/2012,312451
04/01/2012,316592
04/02/2012,320389
04/03/2012,323855
04/04/2012,327236
04/05/2012,331088
04/06/2012,335481
04/07/2012,340088
04/08/2012,344393
04/09/2012,349719
04/10/2012,354348
04/11/2012,359243
04/12/2012,363582
04/13/2012,367374
04/14/2012,371744
04/15/2012,376581
04/16/2012,381059
04/17/2012,385600
04/18/2012,389738
04/19/2012,394355
04/20/2012,398404
04/21/2012,403689
04/22/2012,409258
04/23/2012,413438
04/24/2012,417381
04/25/2012,421308
04/26/2012,425282
04/27/2012,429325
04/28/2012,434065
04/29/2012,439818
04/30/2012,444282
05/01/2012,448569
05/02/2012,452286
05/03/2012,455812
05/04/2012,459765
05/05/2012,466823
